name,key,personal_tier,platform_tier,posture,value,access,platform,personal,safety_net,override,override_personal,tags
Wealthsimple,wealthsimple,S,A,balanced,90.5,93.33,71.87,91.91,False,,,"fintech,toronto,tier1"
RBC,rbc,S,A,balanced,68.67,100.0,76.8,82.87,False,,S,"bank,toronto,tier1"
Scotiabank,scotiabank,A,B,floor_only,51.17,100.0,66.8,71.53,False,,,"bank,toronto,tier1"
Shopify,shopify,S,S,balanced,88.67,100.0,92.8,94.16,False,,,"canada,tier1,commerce"
Layer 6 AI,layer6,B,C,balanced,69.5,66.67,53.47,68.07,False,,,"ai,toronto,bank,tier2"
Borealis AI,borealisai,B,C,balanced,69.5,66.67,53.47,68.07,False,,,"ai,toronto,bank"
Exiger,exiger,B,D,balanced,64.33,60.0,35.73,62.13,False,,,"ai,tob,toronto,tier2"
BioAdvance,bioadvance,A,D,balanced,59.33,46.67,23.73,52.62,False,,,"health,toronto,tier1"
University Health Network,uhn,B,B,balanced,67.17,66.67,63.87,66.92,False,,,"health,toronto,research"
SickKids,sickkids,B,B,balanced,68.67,66.67,67.47,67.66,False,,,"health,toronto,research"
Think Research,thinkresearch,C,D,balanced,59.33,60.0,23.73,59.67,False,,,"health,toronto,tob"
PocketHealth,pockethealth,C,D,balanced,70.17,60.0,33.73,64.88,False,,,"health,toronto"
Signal 1,signal1,C,D,worth_forcing,67.67,46.67,27.73,56.19,False,,,"health,toronto,ai"
Pentavere,pentavere,C,D,worth_forcing,67.67,46.67,27.73,56.19,False,,,"health,toronto,ai"
BlueDot,bluedot,C,C,worth_forcing,71.0,46.67,51.73,57.56,False,,,"health,toronto,ai"
BenchSci,benchsci,B,C,balanced,69.5,66.67,53.47,68.07,False,,,"health,toronto,ai"
Deep Genomics,deepgenomics,D,C,worth_forcing,62.83,33.33,48.13,45.77,False,,,"health,toronto,ai"
PointClickCare,pointclickcare,A,B,balanced,72.0,93.33,59.47,81.98,False,,,"health,toronto"
AlayaCare,alayacare,C,D,balanced,55.17,66.67,35.07,60.64,False,,,"health,canada"
League,league,C,D,balanced,55.17,60.0,29.73,57.53,False,,,"health,toronto,tob"
WELL Health,wellhealth,C,C,balanced,54.5,60.0,44.13,57.18,False,,,"health,canada"
Maple,maple,D,C,balanced,58.67,46.67,38.13,52.32,False,,,"health,toronto"
MedStack,medstack,D,D,worth_forcing,59.33,26.67,18.4,39.78,False,,,"health,toronto,tob"
Verto Health,vertohealth,D,D,balanced,52.67,46.67,23.73,49.58,False,,,"health,toronto"
Dialogue Health,dialogue,C,D,balanced,52.67,60.0,23.73,56.21,False,,,"health,canada"
Benchling,benchling,C,D,balanced,60.0,53.33,30.67,56.57,False,,,"health,tob"
